Player ID,Name,Legal Name,Player Type,Status,Weight,Height,Birth Year,Birth Year Category,Birth State,Birth Country,Latitude,Longitude,Debut,Final Game,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Bats,Throws
martevi01,Victor Marte,Victor Manuel,AllStar,Inactive,260.0,74.0,1980,1980-1989,Puerto Plata,D.R.,18.735693,-70.162651,2009-09-06,2013-06-04,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martian01,Anastacio Martinez,Anastacio Euclides,AllStar,Active,180.0,74.0,1978,1970-1979,Santo Domingo,D.R.,18.735693,-70.162651,2004-05-22,2004-07-02,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martica02,Carlos Martinez,Carlos Alberto Escobar,AllStar,Inactive,175.0,77.0,1965,1960-1969,Vargas,Venezuela,6.42375,-66.58973,1988-09-02,1995-07-20,17.0,55.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,R,R
martica03,Carlos Martinez,Carlos M.,AllStar,Inactive,170.0,73.0,1982,1980-1989,Monte Cristi,D.R.,18.735693,-70.162651,2006-04-03,2009-05-16,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martica04,Carlos Martinez,Carlos Ernesto,AllStar,Inactive,185.0,72.0,1991,1990-1999,Puerto Plata,D.R.,18.735693,-70.162651,2013-05-03,2015-09-25,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R,R
martich01,Chito Martinez,Reyenaldo Ignacio,AllStar,Inactive,180.0,70.0,1965,1960-1969,,Belize,17.189877,-88.49765,1991-07-05,1993-04-20,67.0,216.0,32.0,58.0,12.0,1.0,13.0,33.0,1.0,1.0,11.0,51.0,L,L
marticr01,Cristhian Martinez,Cristhian A.,AllStar,Inactive,185.0,73.0,1982,1980-1989,Distrito Nacional,D.R.,18.735693,-70.162651,2009-05-21,2013-04-06,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martida02,David Martinez,David Jose,HallofFame,Active,220.0,74.0,1987,1980-1989,Sucre,Venezuela,6.42375,-66.58973,2013-08-21,2014-07-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martide01,Dennis Martinez,Jose Dennis,AllStar,Inactive,160.0,73.0,1954,1950-1959,,Nicaragua,12.865416,-85.207229,1976-09-14,1998-09-27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martido02,Domingo Martinez,Domingo Emilio,AllStar,Inactive,215.0,74.0,1967,1960-1969,Distrito Nacional,D.R.,18.735693,-70.162651,1992-09-11,1993-10-03,7.0,8.0,2.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,R,R
martife01,Felix Martinez,Felix,AllStar,Inactive,170.0,72.0,1974,1970-1979,Maria Trinidad Sanchez,D.R.,18.735693,-70.162651,1997-09-03,2001-09-30,16.0,31.0,3.0,7.0,1.0,1.0,0.0,3.0,0.0,0.0,6.0,8.0,B,R
martife02,Fernando Martinez,Jesus Fernando,AllStar,Inactive,210.0,73.0,1988,1980-1989,Maria Trinidad Sanchez,D.R.,18.735693,-70.162651,2009-05-26,2013-05-05,29.0,91.0,11.0,16.0,6.0,0.0,1.0,8.0,2.0,0.0,5.0,14.0,L,R
martihe02,Hector Martinez,Rodolfo Hector,AllStar,Inactive,160.0,70.0,1939,1930-1939,,Cuba,21.521757,-77.781167,1962-09-30,1963-06-04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,R,R
martijo04,Jose Martinez,Jose,AllStar,Active,178.0,72.0,1942,1940-1949,Matanzas,Cuba,21.521757,-77.781167,1969-04-12,1970-05-28,77.0,168.0,20.0,45.0,6.0,0.0,1.0,16.0,1.0,3.0,9.0,32.0,R,R
